acad_org,catalog_nbr,class_nbr,subject,subject_descr,descr,units,acad_career_descr,description
AAS,4501,19287,AAS,African-American & African,Advanced Research Seminar in History & AAS,4,Undergraduate,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year AAS and History students--double majors and others. Crosslisted with the History major seminar."
AAS,4570,19286,AAS,African-American & African,Advanced Research Seminar in African-American & African Studies,3,Undergraduate,"Reading, class discussion, and research on a special topic in African-American and African Studies culminating in the composition of a research paper. Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others."
AAS,4993,12938,AAS,African-American & African,Independent Study,1 - 12,Undergraduate,"Allows students to work on an individual research project. Students must propose a topic to an appropriate faculty member, submit a written proposal for approval, prepare an extensive annotated bibliography on relevant readings comparable to the reading list of a regular upper-level course, and complete a research paper of at least 20 pages."
AAS,7000,13736,AAS,African-American & African,Introduction to Africana Studies,3,Graduate,"This is an introductory course that will survey selected recent and classic texts in the interdisciplinary fields of African American, African, and Caribbean Studies. By the end of the course, students will be prepared to identify and understand major themes that have shaped the development of the discipline of Africana Studies."
AAS,9710,13873,AAS,African-American & African,Woodson Institute Fellows Pre- and Post-Doctoral Research,12,Graduate,This is a supervised research course without formal classroom instruction.
SCPSD,2010,20392,ACCT,Accounting,Introductory Accounting I,3,Undergraduate,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
SCPSD,3010,20393,ACCT,Accounting,Introductory Accounting I,3,Undergraduate,"Designed to introduce students to the language of business, the course begins with the role of financial data in contemporary society, proceeds to develop the accounting model for capturing financial data, and finishes with the problems of measuring and reporting income, assets, liabilities, and equities."
SCPSD,3020,20693,ACCT,Accounting,Introductory Accounting II,3,Undergraduate,"Continuation of ACCT 3010. Explores additional financial accounting topics with focus on managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized. Prerequisite: ACCT 3010 or ACCT 2010"
SCPSD,3120,20892,ACCT,Accounting,Intermediate Accounting II,3,Undergraduate,"Continuation of ACCT 3110, emphasizing accounting for the equities of a firm's investors and creditors. Covers special problem areas in financial accounting including accounting for leases, pensions, and income taxes. Prerequisite: ACCT 3110."
SCPSD,3140,21002,ACCT,Accounting,Cost Accounting,3,Undergraduate,Addresses analysis of cost behavior and volume profit relationships; responsibility accounting and reporting flexible budgets; and the use of standard costs to guide and control performance. Prerequisite: ACCT 2020.
SCPSD,4450,20240,ACCT,Accounting,Federal Taxation I,3,Undergraduate,An analysis of the federal income tax law and its application to individuals. A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns. Prerequisite: ACCT 2020 or instructor permission.
SCPSD,5110,20177,ACCT,Accounting,Intermediate Accounting I,3,Graduate,"Provides an intensive study of the generally accepted accounting principles for asset valuation, income measurement, and financial statement presentation for business organizations, and underlying processes behind principles. Prerequisite: ACCT 3020 or ACCT 2020."
SCPSD,5140,21003,ACCT,Accounting,Cost Accounting,3,Graduate,"Addresses analysis of cost behavior and volume profit relationships, responsibility accounting and reporting flexible budgets, and the use of standard costs to guide and control performance. Prerequisite: ACCT 3020 or ACCT 2020."
SCPSD,5250,20178,ACCT,Accounting,Advanced Auditing,3,Graduate,"Builds on the concepts and practice examples from introductory auditing to provide students with an in-depth understanding of professional standards, the audit process, advanced audit techniques, and the auditor's role in ensuring that publicly issued financial statements are fairly presented.
Prerequisite: ACCT 5210."
SCPSD,5310,21004,ACCT,Accounting,Selected Topics in Advanced Accounting,3,Graduate,"Studies accounting and financial reporting for partnerships, business enterprise segments, home office/branch office, foreign transactions and translation, business combinations, and other intercorporate investments and consolidated statements. 
Prerequisite: ACCT 5120 or ACCT 3120"
SCPSD,5410,20224,ACCT,Accounting,Fraud Examination,3,Graduate,"Focuses on the principles and methodology of fraud detection and deterrence. Examines how and why occupational fraud is committed, how fraudulent conduct can be deterred, and how allegations of fraud should be investigated and resolved. Prerequisite: ACCT 5120 or ACCT 3120"
SCPSD,5450,20241,ACCT,Accounting,Federal Taxation I,3,Graduate,Analyzes the federal income tax law and its application to individuals. Creates a study of problems covering personal and business tax situations. Assigns several cases for which the student prepares illustrative tax returns. Prerequisite: ACCT 3020 or ACCT 2020 or Instructor Permission
SCPSD,5460,20179,ACCT,Accounting,Federal Taxation II,3,Graduate,"Analyzes the federal income tax law and its application to corporations, shareholders, partnerships, partners, estates, and gift transactions. Prerequisite: ACCT 5120."
AIRS,100,17145,AIRS,Air Science,Leadership Laboratory,0,Undergraduate,"A mandatory laboratory in leadership and followership development for AFROTC cadets. As a complement to the air science classes, this laboratory focuses on applying leadership principles and understanding leaders' responsibilities while emphasizing the benefits of practical experience. (2 hrs.)  Prerequisite: Enrollment in Air Force ROTC."
AIRS,1200,17140,AIRS,Air Science,Foundations of USAF II,1,Undergraduate,"This course provides an introduction to the Air Force, hopefully encouraging students to pursue an AF career or at least seek additional information to be better informed about the role of the USAF. The course allows students to examine general aspects of the Department of the Air Force, AF Leadership, Air Force benefits, and opportunities for AF officers. Students should demonstrate basic verbal and written communication skills."
AIRS,2200,17201,AIRS,Air Science,Team and Leadership Fundamentals II,1,Undergraduate,"This course is designed to provide a fundamental understanding of both leadership and team building. There are many layers to leadership, including aspects that don't always jump to mind. Such things include listening, understanding yourself, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things such as conflict management. Students should demonstrate basic verbal and written communication skills."
AIRS,3200,17143,AIRS,Air Science,Concepts of Air Force Leadership and Management,3,Undergraduate,"Focuses on the study of leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership, core values, and military ethics as a means of demonstrating and exercising practical application of the concepts being studied. Prerequisite: Officer Field Training attendance; corequisite: AIRS 100. (2 hrs.)"
AIRS,4200,17144,AIRS,Air Science,National Security Affairs/Preparation for Active Duty,3,Undergraduate,"Examines military law, regional studies, advanced leadership ethics, and Air Force doctrine. Topics include the military as a profession, officership, preparation for active duty, and current issues affecting the military. Emphasizes refining communication skills through cadet presentations. Prerequisite: AIRS 3100 and/or 3200; corequisite: AIRS 100. (2 hrs.)"
ALAR,8020,14232,ALAR,Arch & Landscape Arch,Research Studio 2,6,Graduate,"Advanced vertical studio, exploring complex issues and sites, often through interdisciplinary design research. Typical projects include brownfields, urban landscape infrastructure, and sustainable designs. Prerequisite: ALAR 8010"
ALAR,8995,14293,ALAR,Arch & Landscape Arch,Thesis II,6,Graduate,Thesis II . Prerequisite: ALAR 8100 and permission of the chair.
ALAR,8999,14253,ALAR,Arch & Landscape Arch,Non-Topical Design Research-Masters,1 - 12,Graduate,Independent Design Thesis Studio. Prerequisite: ALAR 8100 and permission of the chair.
AMST,2422,19927,AMST,American Studies,Point of View Journalism,3,Undergraduate,This course analyzes 'point-of-view' journalism as a controversial but credible alternative to the dominant model of ''objectivity' in the U.S. news media. It will survey point-of-view journalists from Benjamin Franklin to the modern blog.
AMST,2559,20534,AMST,American Studies,New Course in American Studies,3,Undergraduate,New Course in subject of American Studies.
AMST,2660,13686,AMST,American Studies,Spiritual But Not Religious: Spirituality in America,3,Undergraduate,"What does ""spiritual but not religious"" mean, and why has it become such a pervasive self-description in contemporary America? This interdisciplinary course surveys spirituality in America, with a particular eye for the relationship between spirituality and formal religion, on the one hand, and secular modes of understanding the self, such as psychology, on the other."
AMST,2753,20117,AMST,American Studies,Arts and Cultures of the Slave South,4,Undergraduate,"This interdisciplinary course covers the American South to the Civil War. While the course centers on the visual arts- architecture, material culture, decorative arts, painting, and sculpture- it is not designed as a regional history of art, but an exploration of the interrelations between history, material and visual cultures, foodways, music and literature in the formation of Southern identities."
AMST,3001,20346,AMST,American Studies,Theories and Methods of American Studies,3,Undergraduate,This seminar course will introduce majors to various theories and methods for the practice of American Studies. The three goals of the seminars are (1) to make students aware of their own interpretive practices; (2) to equip them with information and conceptual tools they will need for advanced work in American Studies; and (3) to provide them with comparative approaches to the study of various aspects of the United States. Prerequisites: American Studies Major
AMST,3180,12424,AMST,American Studies,Introduction to Asian American Studies,3,Undergraduate,"An interdisciplinary introduction to the culture and history of Asians and Pacific Islanders in America. Examines ethnic communities such as Chinese, Japanese, Filipino, Korean, Asian Indian, and Native Hawaiian, through themes such as immigration, labor, cultural production, war, assimilation, and politics. Texts are drawn from genres such as legal cases, short fiction, musicals, documentaries, visual art, and drama."
AMST,3321,19546,AMST,American Studies,Race and Ethnicity in Latinx Literature,3,Undergraduate,This course examines the construction of race and ethnicity in Latinx literature by examining key texts by individuals from varying Latinx groups in the US. We will examine how US-American identity shapes Latinx notions of race and how the authors' connections with Latin America and the Caribbean do the same. We will explore from a hemispheric perspective how race and ethnicity are depicted in Latinx literature and culture.
AMST,3407,19833,AMST,American Studies,Racial Borders and American Cinema,3,Undergraduate,"This class explores how re-occurring images of racial and ethnic minorities such as African Americans, Jews, Asians, Native Americans and Latino/as are represented in film and shows visual images of racial interactions and boundaries of human relations that tackle topics such as immigration, inter-racial relationships and racial passing."
AMST,3427,20345,AMST,American Studies,"Gender, Things, and Difference",3,Undergraduate,"This class explores how material culture, the physical stuff that is part of human life, is used to help to construct and express gendered and other forms of difference. We will look at how bodies and clothes shape our understanding of our own and others' identities, how we imbue objects with gender, how the food we cook and eat carries cultural meanings, and how the design of buildings and spaces structures gender."
AMST,3559,19548,AMST,American Studies,New Course in American Studies,3,Undergraduate,New Course in the subject of American Studies
AMST,4321,19809,AMST,American Studies,"Caribbean Latinx: Cuba, Puerto Rico and the DR",3,Undergraduate,"In this course we will read texts by Latinx writers from Puerto Rico, Cuba and the Dominican Republic. We will explore how their works speak to issues of race, colonialism and imperialism based on their individual and shared histories. We will discuss their different political histories and migration experiences and how these in turn impact their literary and artistic productions in the US."
AMST,4500,12236,AMST,American Studies,Fourth-Year Seminar in American Studies,3,Undergraduate,"This seminar is intended to focus study, research, and discussion on a single period, topic, or issue, such as the Great Awakening, the Civil War, the Harlem Renaissance, the Great Depression, or the 1960s. Topics vary."
AMST,4559,19549,AMST,American Studies,New Course in American Studies,3,Undergraduate,New Course in the subject of American Studies.
AMST,4893,12833,AMST,American Studies,Independent Study in Asian Pacific American Studies,3,Undergraduate,"An elective course for students in the Asian Pacific American Studies minor. Students will work with an APAS core faculty member to support the student's own research. Topics vary, and must be approved by the APAS Director. "
AMST,4993,14086,AMST,American Studies,Independent Study,1 - 3,Undergraduate,"An elective course for American Studies majors who have completed AMST 3001-3002. Students will work with an American Studies faculty member to support the student's own research. Topics vary, and must be approved by the Program Director. Prerequisite: AMST 3001, 3002, Instructor Consent."
AMST,4999,10757,AMST,American Studies,Distinguished Majors Thesis Seminar,3,Undergraduate,"This workshop is for American Studies majors who have been admitted to the DMP program. Students will discuss the progress of their own and each other's papers, with particular attention to the research and writing processes. At the instructor's discretion, students will also read key works in the field of American Studies. Prerequisites: admission to DMP."
AMST,5559,20533,AMST,American Studies,New Course in American Studies,3,Graduate,New Course in the subject of American Studies.
AMST,8001,12094,AMST,American Studies,Approaches to American Studies,3,Graduate,"This course introduces graduate students to the field of American Studies, the interdisciplinary study of US culture. Students will be exposed to a variety of influential theoretical and methodological interventions that have occurred over the field's history, and will also be introduced to some of the principal intellectual, political, and professional issues they will face while pursuing a career in the field."
AMST,8993,20960,AMST,American Studies,Independent Study in American Studies,3,Graduate,"A single semester of independent study under faculty supervision for students doing intensive research on a subject not covered in the usual courses. Requires approval by a faculty member who has agreed to supervise a guided course of reading and substantial written exercise, a detailed outline of the research project, and authorization by the Director of the AMST program."
ANTH,1010,10009,ANTH,Anthropology,Introduction to Anthropology,3,Undergraduate,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
ANTH,2120,19063,ANTH,Anthropology,The Concept of Culture,3,Undergraduate,"Culture is the central concept that anthropologists use to understand the striking differences among human societies and how people organize the meaningful parts of their lives. In this course we explore this diversity, examine its basis in neuroplasticity and human development, and consider its implications for human nature, cognition, creativity, and identity. By learning about other cultures, we gain new understanding of ourselves."
ANTH,2270,19757,ANTH,Anthropology,"Race, Gender, and Medical Science",3,Undergraduate,"Explores the social and cultural dimensions of biomedical practice and experience in the United States. Focuses on practitioner and patient, asking about the ways in which race, gender, and socio-economic status contour professional identity and socialization, how such factors influence the experience, and course of, illness, and how they have shaped the structures and institutions of biomedicine over time."
ANTH,2280,21277,ANTH,Anthropology,Medical Anthropology,3,Undergraduate,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
ANTH,2285,13737,ANTH,Anthropology,Anthropology of Development and Humanitarianism,3,Undergraduate,"This course explores anthropological writings on development and humanitarianism to better understand the historical context and contemporary practice of these distinct modes of world saving. We will attend to critiques of development and humanitarianism, and will also consider writings by anthropologists who champion the humanitarian project"
ANTH,2325,13628,ANTH,Anthropology,Anthropology of God,3,Undergraduate,"How does the study of society and culture create an intellectual space for any explanation and experience of the Divine? How does anthropology deal specifically with explaining (rather than the explaining away) knowledge and understanding about divinity? Is God an American? If God has a gender and race, what are they? These and many other pertinent questions will be engaged and tackled in this cross-cultural study of the divine."
ANTH,2400,19163,ANTH,Anthropology,Language and Culture,3,Undergraduate,"Introduces the interrelationships of linguistic, cultural, and social phenomena with emphasis on the importance of these interrelationships in interpreting human behavior. No prior knowledge of linguistics is required."
ANTH,2415,12694,ANTH,Anthropology,Language in Human Evolution,3,Undergraduate,"Examines the evolution of our capacity for language along with the development of human ways of cooperating in engaged social interaction. Course integrates cognitive, cultural, social, and biological aspects of language in comparative perspective. How is the familiar shape of language today the result of evolutionary and developmental processes involving the form, function, meaning and use of signs and symbols in social ecologies?"
ANTH,2430,19170,ANTH,Anthropology,Languages of the World,3,Undergraduate,"An introduction to the study of language relationships and linguistic structures.  Topics covered the basic elements of grammatical description; genetic, areal, and typological relationships among languages; a survey of the world's major language groupings and the notable structures and grammatical categories they exhibit; and the issue of language endangerment. Prerequisite: One year of a foreign language or permission of instructor."
ANTH,2590,19084,ANTH,Anthropology,Social and Cultural Anthropology,3,Undergraduate,"Topics to be announced prior to each semester, dealing with social and cultural anthropology."
ANTH,2625,19062,ANTH,Anthropology,Imagining Africa,3,Undergraduate,"Africa is commonly imagined in the West as an unproblematically bounded and undifferentiated entity. This course engages and moves beyond western traditions of story telling about Africa to explore diverse systems of imagining Africa's multi-diasporic realities. Imagining Africa is never a matter of pure abstraction, but entangled in material struggles and collective memory, and taking place at diverse and interconnected scales and locales. 
Prerequisite: ANTH 1010"
ANTH,2820,13620,ANTH,Anthropology,The Emergence of States and Cities,3,Undergraduate,"Surveys patterns in the development of prehistoric civilizations in different areas of the world including the Inca of Peru, the Maya, the Aztec of Mexico, and the ancient Middle East."
ANTH,3020,19327,ANTH,Anthropology,Using Anthropology,3,Undergraduate,"The theoretical, methodological and ethical practice of an engaged anthropology is the subject of this course, We begin with a history of applied anthropology. We then examine case studies that demonstrate the unique practices of contemporary sociocultural, linguistic, archaeological and bioanthropological anthropology in the areas of policy and civic engagement."
ANTH,3290,12101,ANTH,Anthropology,Biopolitics and the Contemporary Condition,3,Undergraduate,"Biopolitical analysis has become one of the prominent critical approaches across the social sciences and humanities. This course will consider various biopolitical theories and the ways in which they help us understand diverse phenomena of our contemporary condition, which will be examined through various case studies."
ANTH,3370,19687,ANTH,Anthropology,Power and the Body,3,Undergraduate,Studying the cultural representations and interpretations of the body in society. Prerequisite: ANTH 1010 or permission of the instructor.
ANTH,3490,19089,ANTH,Anthropology,Language and Thought,3,Undergraduate,Language and Thought
ANTH,3541,19156,ANTH,Anthropology,Topics in Linguistics,3,Undergraduate,"Topics to be announced prior to each semester, dealing with linguistics."
ANTH,3559,19162,ANTH,Anthropology,New Course in Anthropology,3,Undergraduate,New course in the subject of Anthropology.
ANTH,3590,13617,ANTH,Anthropology,Social and Cultural Anthropology,3,Undergraduate,"Topics to be announced prior to each semester, dealing with social and cultural anthropology."
ANTH,3679,20857,ANTH,Anthropology,"Curating Culture: Collection, Preservation, and Display as Cultural Forms",3,Undergraduate,"This course teaches the importance of understanding cultural meanings when curating items, whether material or intangible, drawn from social worlds other than one's own. It provides a general introduction to collection, preservation, and display through study of a specific collection held by the instructor or by a local institution such as the Fralin Museum of Art."
ANTH,3880,19689,ANTH,Anthropology,African Archaeology,3,Undergraduate,"This course surveys transformations in the African past, from the Middle Stone Age emergence of modern humans, to the florescence of lifeways in the Late Stone Age, to the broad mosaic of small-, medium-, and large-scale Iron Age societies, to the archaeology of colonial encounters. We also consider how archaeological methods work to produce knowledge in combination with studies of genetics, climate and environment, and historical methods."
ANTH,3885,20663,ANTH,Anthropology,Archaeology of Europe,3,Undergraduate,"A survey of European archaeology beginning with the Neanderthal debate, and including interpretations of Upper Paleolithic cave painting, the spread village farming from the Near East, the role of megalithic monuments, the interaction of Rome and the `Barbarians', the growth of urban centers, the Iron Age, and the Viking expansion."
ANTH,4591,11334,ANTH,Anthropology,Majors Seminar,3,Undergraduate,The majors seminars in anthropology offer majors and minors an opportunity to engage deeply with a topic of anthropological concern. Through these courses anthropology students gain experience in doing an independent research project on a topic they care about and produce a significant paper or other major work. Enrollment for majors and minors is preferred.
ANTH,4993,13013,ANTH,Anthropology,Independent Study in Anthropology,1 - 6,Undergraduate,Independent study conducted by the student under the supervision of an instructor of his or her choice.
ANTH,4999,12398,ANTH,Anthropology,Distinguished Majors Thesis Writing,3,Undergraduate,"Writing of a thesis of approximately 50 pages, under the supervision of the faculty DMP thesis readers. Prerequisite: ANTH 4998."
ANTH,5360,11164,ANTH,Anthropology,World Mental Health,3,Graduate,"This course will examine mental health issues from the perspectives of biomedicine and anthropology, emphasizing local traditions of illness and healing as well as evidence from epidemiology and neurobiology. Included topics will be psychosis, depression, PTSD, Culture Bound Syndromes, and suicide. We will also examine the role of pharmaceutical companies in the spread of western based mental health care and culturally sensitive treatment."
ANTH,5410,12795,ANTH,Anthropology,Phonology,3,Graduate,"An introduction to the theory and analysis of linguistic sound systems. Covers the essential units of speech sound that lexical and grammatical elements are composed of, how those units are organized at multiple levels of representation, and the principles governing the relation between levels.     "
ANTH,5475,20681,ANTH,Anthropology,Multimodal Interaction,3,Graduate,"Students build knowledge and practice of analysis of peoples' joint-engagement in embodied interactions. How does action weave together multiple sensory modalities into semiotic webs linking interactions with more durative institutions of social life? Course includes workshops on video recording, and the transcription and coding of verbal and non-verbal actions. Prior coursework in Linguistics, Anthropology or instructor permission recommended."
ANTH,5480,19184,ANTH,Anthropology,Literacy and Orality,3,Graduate,"This course surveys ethnographic and linguistic literature on literacy, focusing on the social meanings of speaking vs. writing (and hearing vs. reading) as opposed communicative practices, looking especially at traditionally oral societies."
ANTH,5589,19188,ANTH,Anthropology,Selected Topics in Archaeology,3,Graduate,Seminars in topics announced prior to each semester.
ANTH,5590,19189,ANTH,Anthropology,Topics in Social and Cultural Anthropology,3,Graduate,"Topics to be announced prior to each semester, dealing with social and cultural anthropology."
ANTH,5870,19185,ANTH,Anthropology,Archaeozoology,3,Graduate,"Laboratory training in techniques and methods used in analyzing animal bones recovered from archaeological sites. Include field collection, data analysis, and the use of zooarchaeological materials in reconstructing economic and social systems."
ANTH,5993,21535,ANTH,Anthropology,Independent Studies in Anthropology,3,Graduate,Independent study conducted by the student under the supervision of an instructor of his or her choice.
ANTH,7020,19186,ANTH,Anthropology,Contemporary Anthropological Theory,3,Graduate,"Explores the major recent theoretical approaches in current anthropology, with attention to their histories and to their political contexts and implications."
ANTH,7370,19688,ANTH,Anthropology,Power and the Body,3,Graduate,Study of the cultural representations and interpretations of the body in society.
ANTH,7541,19160,ANTH,Anthropology,Topics in Sociolinguistics,3,Graduate,Analyzes particular aspects of the social use of language. Topics vary from year to year.
ANTH,7559,20223,ANTH,Anthropology,New Course in Anthropology,3,Graduate,New course in the subject of anthropology.
ANTH,8998,10010,ANTH,Anthropology,"Non-Topical Research, Preparation for Research",1 - 12,Graduate,"For master's research, taken before a thesis director has been selected."
ANTH,8999,11058,ANTH,Anthropology,Non-Topical Research,1 - 12,Graduate,"For master's thesis, taken under the supervision of a thesis director."
ANTH,9010,12314,ANTH,Anthropology,Directed Readings,1 - 12,Graduate,Directed Readings
ANTH,9020,12965,ANTH,Anthropology,Directed Readings,1 - 12,Graduate,Directed Readings
ANTH,9050,11777,ANTH,Anthropology,Research Practicum,1,Graduate,Research Practicum
ANTH,9998,12963,ANTH,Anthropology,"Non-Topical Research, Preparation for Doctoral Research",1 - 12,Graduate,"For doctoral research, taken before a dissertation director has been selected."
ANTH,9999,10011,ANTH,Anthropology,Non-Topical Research,1 - 12,Graduate,"For doctoral dissertation, taken under the supervision of a dissertation director."
APMA,1090,16688,APMA,Applied Mathematics,Single Variable Calculus I,4,Undergraduate,"The concepts of differential and integral calculus are developed and applied to the elementary functions of a single variable. Limits, rates of change, derivatives, and integrals. Applications are made to problems in analytic geometry and elementary physics. For students with no exposure to high school calculus."
APMA,1110,15125,APMA,Applied Mathematics,Single Variable Calculus II,4,Undergraduate,"Advanced techniques of integration are introduced, and integration is used in physics applications like fluid force, work, and center of mass. Improper integrals and approximate integration using Simpson's Rule are also studied. Infinite series including Taylor series are studied and numerical methods involving Taylor polynomials are studied. Parametric equations and polar coordinates are introduced and applied. Complex numbers are introduced."
APMA,2120,15127,APMA,Applied Mathematics,Multivariable Calculus,4,Undergraduate,"Topics include vectors in three-space and vector valued functions. The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Applications. Prerequisite: APMA 1110 or MATH 1320."
APMA,2130,15131,APMA,Applied Mathematics,Ordinary Differential Equations,4,Undergraduate,"First order differential equations, second order and higher order linear differential equations, undetermined coefficients, variation of parameters, Laplace transforms, linear systems of first order differential equations and the associated matrix theory, numerical methods. Applications. Prerequisite: APMA 2120 or equivalent."
APMA,3080,15136,APMA,Applied Mathematics,Linear Algebra,3,Undergraduate,Analyzes systems of linear equations; vector spaces; linear dependence; bases; dimension; linear mappings; matrices; determinants; eigenvalues; eigenvectors; coordinates; diagonalization; inner product spaces. Prerequisite: APMA 2120 or equivalent.
APMA,3100,15139,APMA,Applied Mathematics,Probability,3,Undergraduate,"A calculus-based introduction to probability theory and its applications in engineering and applied science. Includes counting techniques, conditional probability, independence, discrete and continuous random variables, probability distribution functions, expected value and variance, joint distributions, covariance, correlation, the Central Limit theorem, the Poisson process, an introduction to statistical inference. Students must have completed APMA 2120 or APMA 2512 Topic #1 Honors Engineering Math II and CS 1110 or CS 1111 or CS 1112"
APMA,3110,15142,APMA,Applied Mathematics,Applied Statistics and Probability,3,Undergraduate,"Introduces basic concepts of probability such as random variables, single and joint probability distributions, and the central limit theorem. The course then emphasizes applied statistics, including descriptive statistics, statistical inference, confidence intervals, hypothesis testing, correlation, linear regression, and ANOVA. Students cannot receive credit for both this course and APMA 3120. Prerequisite: APMA 2120 or equivalent."
APMA,3120,15143,APMA,Applied Mathematics,Statistics,3,Undergraduate,"Includes point estimation methods, confidence intervals, hypothesis testing for one population and two populations, categorical data tests, single and multi-factor analysis of variance (ANOVA) techniques, linear and non-linear regression and correlation analysis, and non-parametric tests. Students cannot receive credit for both this course and APMA 3110. Prerequisite: APMA 3100 or MATH 3100."
APMA,3140,15830,APMA,Applied Mathematics,Applied Partial Differential Equations,3,Undergraduate,"Partial differential equations that govern physical phenomena in science and engineering. Separation of variables, superposition, Fourier series, Sturm-Liouville eigenvalue problems, eigenfunction expansion techniques. Particular focus on the heat, wave, and Laplace partial differential equations in rectangular, cylindrical, and spherical coordinates. Prerequisites: APMA 2120 and 2130 or equivalents."
APMA,3501,15942,APMA,Applied Mathematics,Special Topics in Applied Mathematics,1 - 4,Undergraduate,Applies mathematical techniques to special problems of current interest. Topic for each semester are announced at the time of course enrollment.
APMA,6410,20055,APMA,Applied Mathematics,Engineering Mathematics I,3,Graduate,"Review of ordinary differential equations. Initial value problems, boundary value problems, and various physical applications. Linear algebra, including systems of linear equations, matrices, eigenvalues, eigenvectors, diagonalization, and various applications. Scalar and vector field theory, including the divergence theorem, Green's theorem, Stokes theorem, and various applications. Partial differential equations that govern physical phenomena in science and engineering. Solution of partial differential equations by separation of variables, superposition, Fourier series, variation of parameters, d' Alembert's solution. Eigenfunction expansion techniques for nonhomogeneous initial-value, boundary-value problems. Particular focus on various physical applications of the heat equation, the potential (Laplace) equation, and the wave equation in rectangular, cylindrical, and spherical coordinates. Cross-listed as MAE 6410. Prerequisite: Graduate standing."
APMA,6430,15843,APMA,Applied Mathematics,Statistics for Engineers and Scientists,3,Graduate,Analyzes the role of statistics in science; hypothesis tests of significance; confidence intervals; design of experiments; regression; correlation analysis; analysis of variance; and introduction to statistical computing with statistical software libraries. Prerequisite: Admission to graduate studies.
